8559385252252114879,Denzo-Dhan
-1417129657964892714,Desmond
935305816587427925,Desmond-Grell
-2038800479546295757,Devan-Seaworth
-7713204683795391940,Dick-Crabb
-8258439586907542656,Dick-Follard
-3369310838033373665,Dick-Straw
6251753480924479913,Dirk
-7499636123442593327,Dobber
7060064261559437431,Dolf
-2722795950142734656,Donal-Noye
-1055855037641809898,Donella-Hornwood
2729613016872485720,Donnel-Waynwood
1505790853404903947,Dontos-Hollard
5882943101446403681,Doran-Martell
-3445129268282557354,Dorcas
-7128114115724111775,Doreah
6320346211211175515,Draqaz
5490627551727482528,Drennan
-693240965107467070,Drogo
1842777241219726715,Dryn
-6817530411747520191,Dunsen
-4620319732455475882,Dunstan-Drumm
-3051572459921930685,Dywen
-383479024985721036,Ebben
1787258805162148944,Eddard-Stark
3238449455368085871,Eddison-Tollett
4952665251574087143,Edmure-Tully
-5659680277566969222,Edric-Storm
296525127583660516,Edwyn-Frey
8278768186995662351,Elbert-Arryn
-5404531435360774271,Elder-Brother
638997530940276548,Eldon-Estermont
-5565935538129596463,Elia-Martell
4241586874413700086,Elinor-Tyrell
-404339216810934825,Ellaria-Sand
-8668321196226583932,Elmar-Frey
4812348457696359372,Elys-Waynwood
-8058054855639121033,Emmett
5472816502844112840,Emmon-Cuy
8317407932771643841,Emmon-Frey
7478269613489062592,Emmond
-8202845266776442142,Emrick
-8022774430361720936,Eon-Hunter
-6525598036895580818,Eroeh
-2215335858525820758,Errok
9073750219409548807,Euron-Greyjoy
-8035886671396273500,Eustace-Brune
-2167431951350196284,Ezzara
-8802936136227452470,Falyse-Stokeworth
-7988727739260066985,Farlen
-1550996781031135290,Florian-the-Fool
-6281003111418328223,Fogo
-8293399592291023052,Forley-Prester
-3767014474763247482,Franklyn-Flowers
-5673920533854377060,Franklyn-Fowler
-1146630947239393820,Frenken
8381106438895381557,Frenya
7115569989065579209,Fulk
3740424710593963348,Galazza-Galare
-6065110609198440360,Galbart-Glover
-1892139361492869000,Galyeon-of-Cuy
382702656484230079,Gared
-8419692826500120822,Garin-(orphan)
-4616672036664541026,Gariss
8020268879728145722,Garlan-Tyrell
-4200097348054156263,Garrett-Paege
-3515950102485328896,Garth-(Wolfs-Den)
7696641460840911057,Garth-Greyfeather
4311296856420047543,Garth-Tyrell
1131253315605105025,Gawen-Westerling
7490741876971439411,Gelmarr
7020245017126532059,Gendel
-4973959390558533367,Gendry
8595795305739649411,Genna-Lannister
-3312503908429304049,Gerald-Gower
3476781199940031873,Gerold-Dayne
7042731267426773367,Gerold-Grafton
-8349292882010993221,Gerold-Hightower
-5312048774527827707,Gerrick-Kingsblood
269917882980200576,Gerris-Drinkwater
-8758068539093789059,Ghael
5084933727343761429,Gilly
-7541761112660343612,Gilwood-Hunter
3191396987244720027,Godric-Borrell
-8468800451083781779,Godry-Farring
-7890731315853655215,Goghor-the-Giant
7214943571346551532,Gormon-Tyrell
-8424535722093043905,Gormond-Goodbrother
-4347674522463281248,Gorne
-490313746789314756,Gorold-Goodbrother
-7896958617019571515,Grazdan-mo-Eraz
3149716337112653877,Grazhar
7737845582768429641,Greenbeard
-5880511863675164194,Gregor-Clegane
-4313941152946208038,Grenn
7204528178449563917,Gretchel
2813246712620368178,Grey-Worm
-7668181589922254415,Greydon-Goodbrother
-7370457557552962762,Grigg
-9166871907781972876,Grimtongue
6539853743246926253,Grisel
5792868661732489649,Groleo
3031269865066777156,Grunt
5454709795246484647,Guncer-Sunglass
8182714189427951147,Gunthor-son-of-Gurn
-7702950983513826961,Guyard-Morrigen
295468540348854133,Gyles-Grafton
6064970861480500806,Gyles-Rosby
-831479467029320292,Gynir
-1718946117290922817,Hagen
6902668443292429674,Haggo
1824054788833419750,Haggon
-216327590366719963,Hairy-Hal
-666348391693375431,Hake
2225463798238808757,Halder
-1330711617529760672,Haldon
7040693264479409338,Hali
-7025436182975816947,Hallis-Mollen
2043248428771372098,Hallyne
-4967731658013311041,Halys-Hornwood
-5793990818022664611,Hareth-(Moles-Town)
4035782109278831337,Harl
-3034813734708495433,Harma
7008359661137020733,Harra
-3081352423040863130,Harras-Harlaw
9049395236921619453,Harren-Hoare
-741854406827469555,Harrold-Hardyng
1576256600982266334,Harry-Strickland
-8327824600052433101,Harwin
-6322820102701928719,Harwood-Stout
-622601038387293001,Harys-Swyft
6467420614497027282,Hayhead
-8564232521772584414,Helman-Tallhart
-7577223163798391880,Hero
1246100097508102023,Heward
2865123632776666335,High-Septon-(fat_one)
1894168143024329897,High-Septon-(Tyrions)
-5761798325600759445,High-Sparrow
-3477078662892424574,Hizdahr-zo-Loraq
-9085767779232784107,Hobb
-49020283563114070,Hobber-Redwyne
-9157870729146835866,Hodor
-5420910156257904401,Holly
8396916374988570320,Hop-Robin
